Division,Date,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Shots,Away_Shots,Home_Shots_on_Target,Away_Shots_on_Target,Home_Corners,Away_Corners,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards
SP1,2015-01-18,Getafe,Real Madrid,0,3,A,6,24,0,9,7,8,2,2,0,0
SP1,2015-01-18,La Coruna,Barcelona,0,4,A,7,14,2,6,2,4,2,2,0,0
SP1,2015-01-18,Sevilla,Malaga,2,0,H,4,4,3,1,2,0,3,1,0,0
SP1,2015-01-24,Ath Madrid,Vallecano,3,1,H,12,10,5,3,8,5,1,1,0,0
SP1,2015-01-24,Cordoba,Real Madrid,1,2,A,16,13,4,4,3,9,1,3,1,1
SP1,2015-01-24,Elche,Barcelona,0,6,A,6,12,3,8,2,3,5,2,1,0
SP1,2015-01-24,Sociedad,Eibar,1,0,H,19,9,4,4,9,5,2,2,0,0
SP1,2015-01-24,Villarreal,Levante,1,0,H,15,11,4,1,6,3,0,3,0,0
SP1,2015-01-25,Valencia,Sevilla,3,1,H,13,10,8,6,3,7,6,5,0,0
SP1,2015-01-25,La Coruna,Granada,2,2,D,13,5,7,2,7,2,3,3,1,0
SP1,2015-01-25,Espanol,Almeria,3,0,H,18,9,9,1,9,7,2,1,0,0
SP1,2015-01-25,Ath Bilbao,Malaga,1,1,D,11,8,5,3,8,2,0,1,0,0
SP1,2015-01-26,Getafe,Celta,2,1,H,13,7,6,2,6,2,2,5,0,0
SP1,2015-01-30,Vallecano,La Coruna,1,2,A,11,13,4,6,10,7,4,5,0,0
SP1,2015-01-31,Celta,Cordoba,1,0,H,19,8,9,3,8,2,2,6,0,0
SP1,2015-01-31,Eibar,Ath Madrid,1,3,A,11,8,3,5,6,8,3,3,0,0
SP1,2015-01-31,Granada,Elche,1,0,H,14,5,2,1,12,4,4,4,0,1
SP1,2015-01-31,Real Madrid,Sociedad,4,1,H,26,8,11,2,10,3,3,1,0,0
SP1,2015-02-13,Almeria,Sociedad,2,2,D,9,7,4,3,6,6,5,4,0,0
SP1,2015-02-14,Granada,Ath Bilbao,0,0,D,11,10,4,0,4,4,4,4,1,0
SP1,2015-02-14,Malaga,Espanol,0,2,A,17,6,5,2,10,3,3,7,0,1
SP1,2015-02-14,Real Madrid,La Coruna,2,0,H,17,15,6,4,6,6,2,4,0,0
SP1,2015-02-14,Sevilla,Cordoba,3,0,H,18,10,6,3,8,1,0,1,1,1
SP1,2015-02-15,Valencia,Getafe,1,0,H,13,10,3,1,7,2,3,4,0,0
SP1,2015-02-15,Vallecano,Villarreal,2,0,H,13,9,7,2,5,5,2,2,0,0
SP1,2015-02-15,Barcelona,Levante,5,0,H,18,5,10,1,3,4,1,2,0,0
SP1,2015-02-15,Celta,Ath Madrid,2,0,H,14,10,3,5,9,2,0,3,0,0
SP1,2015-02-16,Eibar,Elche,0,1,A,18,6,7,2,5,3,3,1,1,0
SP1,2015-02-20,Getafe,Espanol,2,1,H,10,11,4,7,2,5,3,3,0,0
SP1,2015-02-21,Ath Madrid,Almeria,3,0,H,9,9,6,1,8,4,1,1,1,0
SP1,2015-02-21,Barcelona,Malaga,0,1,A,11,11,5,3,11,3,4,3,0,0
SP1,2015-02-21,Cordoba,Valencia,1,2,A,11,17,4,7,6,2,1,2,0,0
SP1,2015-02-21,La Coruna,Celta,0,2,A,14,8,4,5,4,3,2,4,1,0
SP1,2015-02-22,Ath Bilbao,Vallecano,1,0,H,19,5,6,1,11,4,3,2,0,0
SP1,2015-02-22,Elche,Real Madrid,0,2,A,4,17,1,5,1,6,4,1,0,0
SP1,2015-02-22,Sociedad,Sevilla,4,3,H,17,17,8,5,5,10,5,3,0,0
SP1,2015-02-22,Villarreal,Eibar,1,0,H,21,10,6,1,8,3,2,0,0,0
SP1,2015-02-23,Levante,Granada,2,1,H,9,10,4,4,7,4,3,5,1,2
SP1,2015-02-27,Espanol,Cordoba,1,0,H,12,16,4,4,2,6,5,4,0,0
SP1,2015-02-28,Vallecano,Levante,4,2,H,13,10,7,3,5,2,2,2,0,0
SP1,2015-02-28,Malaga,Getafe,3,2,H,16,10,6,6,6,5,3,1,0,0
SP1,2015-02-28,Granada,Barcelona,1,3,A,10,16,4,9,4,5,2,3,0,0
SP1,2015-02-28,Almeria,La Coruna,0,0,D,10,25,3,9,7,11,2,3,2,0
SP1,2015-03-13,Valencia,La Coruna,2,0,H,16,5,8,2,5,5,1,2,0,0
SP1,2015-03-14,Celta,Ath Bilbao,1,2,A,16,12,5,4,8,5,3,3,0,1
SP1,2015-03-14,Eibar,Barcelona,0,2,A,13,12,2,4,6,3,1,0,0,0
SP1,2015-03-14,Espanol,Ath Madrid,0,0,D,7,14,1,6,6,7,3,3,0,1
SP1,2015-03-14,Vallecano,Granada,3,1,H,16,11,8,3,6,6,3,2,0,0
SP1,2015-03-15,Almeria,Villarreal,0,0,D,10,18,2,7,4,3,4,4,1,1
SP1,2015-03-15,Malaga,Cordoba,2,0,H,19,4,6,2,2,3,0,2,0,0
SP1,2015-03-15,Real Madrid,Levante,2,0,H,22,8,6,0,10,4,2,0,0,0
SP1,2015-03-15,Sevilla,Elche,3,0,H,12,14,4,3,5,9,2,3,0,0
